ID_HDC_G0,lon,lat,tree_area,ft_area,tree_pct,pop_ft
5959.0,62.20932756096871,34.34574588320111,990417.4001717473,5.98676800625224E7,0.016543440452969144,1061820.8628830088
5964.0,62.21843283632949,34.2180913081844,215990.45280838708,1.5960387264526855E7,0.013532908019621924,138360.58302684364
5968.0,62.15900547806579,33.30551114366775,218078.8365467927,1.1973156998697273E7,0.018213979535265473,161867.92274016887
5970.0,63.129197206072604,34.98787944932423,35443.36852923801,2993470.0151054254,0.011840228347164436,65101.507523367305
5973.0,62.105843660922766,32.37387816443707,304222.82354907505,1.596311807390797E7,0.01905785712669339,114860.11648807485
5981.0,61.85626875586597,30.958976003234774,21427.36624248776,9977702.007526826,0.0021475251742659493,36726.36098873429
5992.0,64.78383873440322,35.91970049005946,318137.4139644274,1.1972769426803684E7,0.026571748158133464,99654.52782328427
5999.0,65.75834279928226,36.66256197349809,464901.1414647351,1.995675861239483E7,0.02329542339485894,151091.7276118789
6004.0,65.93887199112088,36.21854315233447,3200414.6255622823,1.5963812905551756E7,0.20047933689133063,116492.32023026014
6016.0,64.35968572468812,31.58564472624104,789023.5426495809,2.2950171606146667E7,0.03437985371918785,154194.36734075935
6021.0,64.56673397406774,31.817713502736037,303936.334391063,7980919.886926659,0.03808286998205976,111701.80096337732
6028.0,67.11042114669107,36.71030218562602,1666794.4412767675,4.589632087295286E7,0.03631651534532968,636718.7519249867
6056.0,65.72499618164018,31.614236538608775,1956331.7879129942,6.684967557325528E7,0.029264641468143022,638996.2730979396
6059.0,68.0208982389449,36.2686881082838,809501.5323360709,6985388.742629875,0.11588496534142893,90347.79653473594
6075.0,68.86756641724308,36.723558947547446,1393266.7188393695,3.4921282336128935E7,0.03989735272114909,256199.11266157532
6085.0,68.6974225902853,35.961455666507504,825270.4593101108,2.1950827730940334E7,0.037596325269632906,187312.67558752
6086.0,69.10257458719575,36.67726755450702,2332489.391580166,1.7959869343579534E7,0.12987229177221193,90620.33431031986
6091.0,66.45802012235346,30.924208019951642,44768.983480632305,2.8937033804560665E7,0.0015471172264234084,169643.79720957018
6100.0,69.54780578073901,36.73346111802855,3652377.969132455,3.5919317438166805E7,0.10168283335060109,265571.9289994556
6113.0,69.17086294532436,35.01841520146645,773952.0466950322,1.1973726818339761E7,0.06463752334065243,174477.12596075464
6114.0,68.41688143903016,33.53763505757363,100244.46209945223,1.0976480524941286E7,0.00913265976937434,78756.26198703697
6118.0,69.1566113126511,34.5232510358568,1.0012789898288803E7,3.2028352848852485E8,0.0312622692323297,5026505.062595277
6119.0,69.25796518955143,34.93879532730116,231139.83204388677,1.6964901274298996E7,0.013624590459247318,93250.84857051192
6120.0,69.08058954483944,34.59566731159083,78168.62091005153,1.4966421166849084E7,0.005222933394604486,103408.23623900766
6127.0,70.5779635982699,37.11437350861226,325965.44177762105,7982998.370472141,0.0408324575116182,64893.2789581665
6134.0,69.02226699092417,34.02332968202741,1015699.6343413759,2.0951493289985035E7,0.04847862728843713,45766.29209523648
6144.0,70.20672769550112,34.67768379583472,380047.1211585816,7982910.310337345,0.04760759001218459,114000.78559139557
6150.0,70.4526723364657,34.43053323310926,2765206.8333457527,5.7869641257668465E7,0.047783376106195014,424997.6404376627
6153.0,69.93917376461417,33.33726286573165,344787.1215911309,1.1973552035766901E7,0.028795725826487997,57136.43977264357
2985.0,12.15069975128497,-15.200168086778927,282436.4169487817,2.3947182688363496E7,0.011794139654099029,271356.8124090377
3002.0,12.202069465691851,-5.580208545250521,3677313.1535987025,6.485221819919489E7,0.05670296646297836,861686.5419032469
3011.0,12.3713589594642,-6.139007290055711,563942.7920461559,8979858.238355007,0.06280085688184125,88170.2296320796
3050.0,13.302845382236903,-8.901899378324176,1.81197398308078E7,7.692782047386566E8,0.023554209282405886,8858489.458585417
3064.0,13.399176931639946,-12.592896511342587,1614653.883679003,5.687459410689516E7,0.028389721439493337,388952.34641809575
3065.0,13.510838861901833,-14.914135130592799,4897757.709420988,8.181796190290591E7,0.05986164401446714,827332.2670746017
3079.0,13.43220242083392,-8.701278041355728,783095.1221581725,2.2948023830268573E7,0.03412473021425338,42624.58262050152
3082.0,13.568561778948077,-12.379407469456579,3370632.347312523,6.1861017636654206E7,0.05448717910058012,497278.975114148
3100.0,13.659364998250194,-8.582210312362259,733318.2503743642,7982441.30166982,0.09186641312614022,66141.6518693883
3103.0,13.763754477809506,-10.732158217535655,369193.98069925007,1.1974814447884776E7,0.030830872771015195,53947.744325132575
3109.0,13.846736754586265,-11.213653681383907,516623.56483525457,1.2969921311411163E7,0.03983243632948799,154142.6207124278
3125.0,14.132638390518332,-12.467706926046507,159674.7457255015,4988944.085969611,0.03200571964206899,38864.26041641086
3133.0,14.250272998844244,-13.040918330934337,837501.3957989535,1.9954150384375237E7,0.04197128816142154,119282.39573210292
3143.0,14.302528432469577,-11.405834434683722,332056.9452467612,9977440.203182112,0.03328077527749633,77964.99114797637
3144.0,14.232964469498182,-6.264410928019272,3435076.498576443,1.6962760179911554E7,0.20250693060227856,224956.3945469164
3145.0,14.383288743954177,-10.850815207727713,1503942.870638388,1.3966634645090459E7,0.10768112067476848,147039.76049715397
3148.0,14.541090227892811,-14.821743875726776,62224.794682721986,6985057.995703795,0.008908271731028396,49422.098517684266
3158.0,14.637004725809104,-13.016536535509628,854698.2269423339,1.2971725358620929E7,0.06588932492116839,104109.38609096035
3171.0,14.77469071016831,-12.354265524861367,174347.1759038489,5986187.295180259,0.029124911618489353,48790.24208764055
