hexagon_n,tree_pct,pop_ft,tree_class,tree_class_text,pop_class,pop_class_text,combined_class
135,49.81253279002986,2165.861250127727,2,high,1,medium,"high trees, medium pop"
136,40.42162216491058,563.7048572803828,1,medium,0,low,"medium trees, low pop"
137,63.18467552850364,1304.5869318011348,2,high,0,low,"high trees, low pop"
138,38.068997974850035,1376.2840417636703,1,medium,0,low,"medium trees, low pop"
139,17.58075601313296,3307.6543347975794,0,low,1,medium,"low trees, medium pop"
140,58.42462268854563,4114.848122169341,2,high,2,high,"high trees, high pop"
141,37.096281419631374,2572.7319121740748,1,medium,1,medium,"medium trees, medium pop"
142,21.17936158081261,3909.02130092885,0,low,2,high,"low trees, high pop"
143,34.30349495095373,1936.797011507492,1,medium,1,medium,"medium trees, medium pop"
144,8.56874673046637,3081.131507407772,0,low,1,medium,"low trees, medium pop"
145,34.13234279701555,3852.571275400415,1,medium,2,high,"medium trees, high pop"
146,32.238550315615996,1622.5787808649022,1,medium,0,low,"medium trees, low pop"
147,59.39790978788011,1308.3244763456942,2,high,0,low,"high trees, low pop"
148,18.9278089011382,2330.568472344238,0,low,1,medium,"low trees, medium pop"
149,33.93645765954716,4939.540502657962,1,medium,2,high,"medium trees, high pop"
150,78.30789124893566,140.87116182066282,2,high,0,low,"high trees, low pop"
151,35.60260022451898,2196.348077899174,1,medium,1,medium,"medium trees, medium pop"
152,54.329621703192835,3866.2432009664526,2,high,2,high,"high trees, high pop"
153,62.87204045953323,1977.6302190608835,2,high,1,medium,"high trees, medium pop"
154,52.62133437742853,2819.810068309073,2,high,1,medium,"high trees, medium pop"
155,26.55744971050713,5061.489212738357,0,low,2,high,"low trees, high pop"
156,44.666645177331645,2604.72913994906,1,medium,1,medium,"medium trees, medium pop"
157,37.632575606637445,1580.1365709525624,1,medium,0,low,"medium trees, low pop"
158,31.7213898768701,3549.65004480826,1,medium,2,high,"medium trees, high pop"
159,17.89193150825325,4709.531973790478,0,low,2,high,"low trees, high pop"
160,51.68480947907056,3266.059008345417,2,high,1,medium,"high trees, medium pop"
161,71.48380325241,944.667267150505,2,high,0,low,"high trees, low pop"
162,32.61512750163243,959.8742096772528,1,medium,0,low,"medium trees, low pop"
163,0.0,0.0,0,low,0,low,"low trees, low pop"
164,31.19842877766146,2750.286512058009,1,medium,1,medium,"medium trees, medium pop"
165,6.717519218646061,18429.21997842601,0,low,2,high,"low trees, high pop"
166,34.244458304374945,4920.249903523614,1,medium,2,high,"medium trees, high pop"
167,47.03588637322942,1736.0413974892422,2,high,1,medium,"high trees, medium pop"
168,47.98052253424661,1688.687374273118,2,high,1,medium,"high trees, medium pop"
169,24.27366403851277,8107.597337985445,0,low,2,high,"low trees, high pop"
170,3.03068393199726,204.79838443509504,0,low,0,low,"low trees, low pop"
171,57.84418632370137,2048.766496384378,2,high,1,medium,"high trees, medium pop"
172,42.16207519427012,2150.9322361968707,1,medium,1,medium,"medium trees, medium pop"
173,34.28787924209985,5864.385469436644,1,medium,2,high,"medium trees, high pop"
174,40.61716925235362,3497.4702188557267,1,medium,2,high,"medium trees, high pop"
175,50.15065956359101,2830.731435731914,2,high,1,medium,"high trees, medium pop"
176,20.729230223730468,3834.472299092141,0,low,2,high,"low trees, high pop"
177,31.177403282076348,2745.0234359461315,1,medium,1,medium,"medium trees, medium pop"
178,66.01114843972483,1098.5097074139867,2,high,0,low,"high trees, low pop"
179,35.21644864507181,41.098131049029966,1,medium,0,low,"medium trees, low pop"
180,56.715470517863665,1556.2200329282043,2,high,0,low,"high trees, low pop"
181,39.86571857241974,801.1378363632796,1,medium,0,low,"medium trees, low pop"
182,0.0,0.0,0,low,0,low,"low trees, low pop"
183,42.470435998126845,1397.3868592786437,1,medium,0,low,"medium trees, low pop"
184,42.06056870838409,5280.825650834512,1,medium,2,high,"medium trees, high pop"
185,5.09545826358192,6338.151862124893,0,low,2,high,"low trees, high pop"
186,26.82032642427626,3307.405874498729,0,low,1,medium,"low trees, medium pop"
187,30.380562261538678,6295.715687512416,0,low,2,high,"low trees, high pop"
188,54.43368931719029,792.943141378813,2,high,0,low,"high trees, low pop"
189,35.013038368967656,832.3030415225408,1,medium,0,low,"medium trees, low pop"
190,40.18271058417221,2890.064659529807,1,medium,1,medium,"medium trees, medium pop"
191,38.53680942409899,4260.739875420453,1,medium,2,high,"medium trees, high pop"
192,34.30519760238802,3302.313849484453,1,medium,1,medium,"medium trees, medium pop"
193,47.30464265760115,3958.395643456133,2,high,2,high,"high trees, high pop"
194,10.399283329707929,9011.761263798731,0,low,2,high,"low trees, high pop"
195,39.03713203674381,4376.424160136576,1,medium,2,high,"medium trees, high pop"
