city_name,UC_NM_MN,CTR_MN_NM,pop_ft_pct,upper,lower,continent,order,position
"Busan, South Korea",Busan,South Korea,0.25150147077160384,2,0,Asia,4,4.2368421052631575
"Shanghai, China",Shanghai,China,0.1705633265650686,6,4,Asia,4,3.5
"Seoul, South Korea",Seoul,South Korea,0.26215015105273753,2,0,Asia,4,4.2894736842105265
"Hong Kong, China",Hong Kong,China,0.08664634840670672,12,10,Asia,4,3.5
"Zhuhai, China",Zhuhai,China,0.1769522716054958,4,2,Asia,4,3.9
"Pyongyang, North Korea",Pyongyang,North Korea,0.5453103455299029,2,0,Asia,4,4.342105263157895
"Guangzhou, China",Guangzhou,China,0.1624539002822603,4,2,Asia,4,4.1
"Jakarta, Indonesia",Jakarta,Indonesia,0.1084079526149355,8,6,Asia,4,3.5
"Singapore, Singapore",Singapore,Singapore,0.13074650247436492,12,10,Asia,4,4.0
"Kuala Lumpur, Malaysia",Kuala Lumpur,Malaysia,0.11575022986753727,8,6,Asia,4,4.0
"Hanoi, Vietnam",Hanoi,Vietnam,0.209611307070939,6,4,Asia,4,4.0
"Bangkok, Thailand",Bangkok,Thailand,0.16466310096098813,10,8,Asia,4,3.5
"Beijing, China",Beijing,China,0.11161919073556167,12,10,Asia,4,4.5
"Chongqing, China",Chongqing,China,0.09398319919618582,16,14,Asia,4,4.0
"Mandalay, Myanmar",Mandalay,Myanmar,0.11857618349400957,8,6,Asia,4,4.5
"Amman, Jordan",Amman,Jordan,0.8880393315436971,2,0,Asia,4,4.394736842105263
"Cebu City, Philippines",Cebu City,Philippines,0.07938580818874254,10,8,Asia,4,4.5
"Beirut, Lebanon",Beirut,Lebanon,0.24490766422848143,6,4,Asia,4,4.5
"Tokyo, Japan",Tokyo,Japan,0.3666942949809256,2,0,Asia,4,4.447368421052632
"Nicosia, Cyprus",Nicosia,Cyprus,0.3232304192676265,4,2,Asia,4,4.3
"Ankara, Turkey",Ankara,Turkey,0.2640168670603116,4,2,Asia,4,4.5
"Damascus, Syria",Damascus,Syria,0.7622255998484265,2,0,Asia,4,4.5
"Sarajevo, Bosnia and Herzegovina",Sarajevo,Bosnia and Herzegovina,0.1495644437083231,18,16,Europe,6,5.5
"Budapest, Hungary",Budapest,Hungary,0.09581724120211102,22,20,Europe,6,5.5
"Bratislava, Slovakia",Bratislava,Slovakia,0.1640999741813116,22,20,Europe,6,5.833333333333333
"Valletta, Malta",Valletta,Malta,0.35368002577288143,2,0,Europe,6,5.5
"Zagreb, Croatia",Zagreb,Croatia,0.15938710300943262,10,8,Europe,6,5.5
"Vienna, Austria",Vienna,Austria,0.11189368430977618,6,4,Europe,6,5.5
"Ljubljana, Slovenia",Ljubljana,Slovenia,0.1443726418092511,10,8,Europe,6,5.7
"Prague, Czech Republic",Prague,Czech Republic,0.11186080398518133,18,16,Europe,6,5.833333333333333
"Rome, Italy",Rome,Italy,0.17138474429749237,6,4,Europe,6,5.833333333333333
"Berlin, Germany",Berlin,Germany,0.0857813995992488,26,24,Europe,6,6.0
"Copenhagen, Denmark",Copenhagen,Denmark,0.11947054527728003,10,8,Europe,6,5.9
"Oslo, Norway",Oslo,Norway,0.09087257549616967,14,12,Europe,6,6.0
"Bern, Switzerland",Bern,Switzerland,0.1407161422983992,18,16,Europe,6,6.166666666666667
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,0.14631453888601514,12,10,Europe,6,5.5
"Stockholm, Sweden",Stockholm,Sweden,0.07091813510302697,30,28,Europe,6,6.0
"Warsaw, Poland",Warsaw,Poland,0.11746546515448418,20,18,Europe,6,6.0
"Tallinn, Estonia",Tallinn,Estonia,0.10802696286608139,10,8,Europe,6,6.1
"Riga, Latvia",Riga,Latvia,0.08414079815822106,22,20,Europe,6,6.166666666666667
"Brussels, Belgium",Brussels,Belgium,0.13905414433799765,8,6,Europe,6,5.5
"Reykjavik, Iceland",Reykjavik,Iceland,0.19188176892828002,6,4,Europe,6,6.166666666666667
"Lisbon, Portugal",Lisbon,Portugal,0.2391972720215732,6,4,Europe,6,6.5
"Dublin, Ireland",Dublin,Ireland,0.12491190403083557,16,14,Europe,6,5.5
"Madrid, Spain",Madrid,Spain,0.16643732584571555,4,2,Europe,6,6.0
"Moscow, Russia",Moscow,Russia,0.05423887675412278,36,34,Europe,6,6.0
"Paris, France",Paris,France,0.10398697992841839,12,10,Europe,6,5.833333333333333
"Kyiv, Ukraine",Kyiv,Ukraine,0.11765078875420495,12,10,Europe,6,6.166666666666667
"Bucharest, Romania",Bucharest,Romania,0.1308626441831405,8,6,Europe,6,6.5
"Athens, Greece",Athens,Greece,0.29241278270356397,2,0,Europe,6,6.0
"Sofia, Bulgaria",Sofia,Bulgaria,0.10932214627919257,18,16,Europe,6,6.5
"Vilnius, Lithuania",Vilnius,Lithuania,0.09735206368031618,10,8,Europe,6,6.3
"Skopje, Macedonia",Skopje,Macedonia,0.17947444150842878,10,8,Europe,6,6.5
"Tirana, Albania",Tirana,Albania,0.3814307629544758,2,0,Europe,6,6.5
"Belgrade, Serbia",Belgrade,Serbia,0.10105706831382813,22,20,Europe,6,6.5
"Helsinki, Finland",Helsinki,Finland,0.07175008573591134,12,10,Europe,6,6.5
"Amsterdam, Netherlands",Amsterdam,Netherlands,0.13140222040072827,16,14,Europe,6,6.5
