max_threshold,"Bangkok, Thailand","Beijing, China","Cebu City, Philippines","Chongqing, China","Colombo, Sri Lanka","Delhi [New Delhi], India","Dhaka, Bangladesh","Guangzhou, China","Hanoi, Vietnam","Hiroshima, Japan","Hong Kong, China","Jakarta, Indonesia","Kabul, Afghanistan","Karachi, Pakistan","Kuala Lumpur, Malaysia","Mandalay, Myanmar","Mumbai, India","Osaka [Kyoto], Japan","Quezon City [Manila], Philippines","Shanghai, China","Tehran, Iran","Tokyo, Japan","Xi'an, China","Yangon, Myanmar","Zhuhai, China"
54,2.8999878400670457e-05,0.0010807864372583643,0.0017509957919704439,0.0028072516775369664,0.01765216382767595,0.0006886207886768013,0.0041594701482136846,0.0011421444572183037,0.00031788135087922346,0.005016602735651676,0.01556222792994321,0.001237766549132747,,2.487752717979555e-05,0.003976156834349692,0.002368304646938195,0.0034054437576092294,0.001500048211340383,0.002976512947001172,5.830717294029958e-06,1.0966260915736356e-05,0.0005273598462916778,,0.0019182663379775137,0.0038941558780310054
56,3.988291271722931e-05,0.0008865855494618322,0.0034593600062968275,0.00021038034357460047,0.022546203822007917,0.00014483135379363913,0.0027828318367736885,0.0014704999726241363,0.00010728578714903736,0.004908265364176026,0.013280788551071072,0.0006144005256813174,,,0.0025627781027085213,0.006175975798993633,0.0009765372057375181,0.0012137069277540324,0.0011204845686471625,3.0068943412423456e-05,,0.00038866927919827785,,0.0019091237523600581,0.004524197134905786
57,0.00025192855010939093,0.0006034991666670433,0.002562849539746048,,0.016096029705673594,0.0005147002241039907,0.004418963040069556,0.0012600656346974405,,0.005348946800995035,0.012132345439922813,0.0010442977760049816,,,0.00227908455547214,0.0014002709113034877,0.0013303850339291127,0.0008700918840440579,0.001258226115698872,6.383528475910233e-05,,0.0005913528326287178,,4.624624424641972e-06,0.010260573450055486
60,0.00045094780078929776,0.0009654429852874502,0.0029155174306362782,0.005587650615101986,0.01507751215692443,0.0007655688677943772,0.0011202589215237083,0.0011476810012330761,0.00020943782749995336,0.0030480592098811473,0.0036502296221432263,0.000671571948683267,,,0.000616641491179749,,0.0019876884260338645,0.0010716539218781093,0.005303261566768612,,9.44674794963275e-06,0.00026720493206863527,,0.0009211328407701893,0.0010179965231160678
62,,0.0001982119548057393,0.0024087659017681365,0.0002438727158085115,0.018053700854542703,0.0006843474759612814,0.0012571144126151275,0.001006633224107361,,0.004565371659770295,0.005340117815437704,0.00018794356588780177,,,0.0009698065775711579,,0.00022525435274184074,0.0009206043111488748,0.0031311555540742653,0.00012121248791149439,,0.00035308392154530287,2.2211901645466142e-05,0.0001212901510440468,0.004592397895083866
64,,0.00034699922533449804,0.0010309153897132743,0.003964683516973549,0.008747771016728183,0.00024361561335942903,0.0018471914903816142,0.0007257517375587415,,0.0009380931869616247,0.0038446183992753994,0.00039093059134349853,,,0.001329252381941303,0.005592702706108975,0.0003761220210551606,0.0009895149483911,0.0009137351786186024,0.0002868498712729263,,0.0001760860043811392,,,0.0016732110986839126
66,0.0005358142535809975,0.0007394225570286652,0.0009355712549889854,0.002353356241286461,0.004926183318860842,0.00043349746186640723,0.0010787485673795776,0.00032760430931379057,,0.004365756197491012,0.0030201737319528695,9.996329652608041e-05,,4.9126040429000395e-05,0.001687162567194323,0.0026518464725216553,0.00032021788740388857,0.0009521500157127969,0.00177337548799477,3.7235309245020994e-05,,0.00013619486396583387,6.489203534133996e-06,,0.0002829003982120154
68,,0.00018673298710151847,,0.00022261922668988598,0.005098676893896231,,0.0010401959567870826,0.00039610014763327565,8.721555598300381e-05,0.007190077131842454,0.009316668530047185,0.00033027130111043594,,,0.0005518175775342777,0.0007044415939620693,0.0003463019969608473,0.000692367462524361,0.0008569566022227912,,,0.0003192075523432868,,,0.0004887046411011624
70,0.00017461560110442357,0.00019208077314585129,,0.0001839983844453781,0.003511374007429558,0.00027327689924850187,0.0008909119762188783,0.00026781799083064626,,0.0029312494266391952,0.0007465233587790594,4.830925952356563e-05,,,0.00021580213311301962,,0.000560979319155045,0.0005975679038247668,0.001062241135035461,,,0.00014929343491893758,,8.969083112842927e-05,0.00036559153822282673
72,5.6534078053096224e-05,0.0002662299835411918,,2.2042197301864798e-05,0.0027622835812732252,,0.0007514444282647588,0.0001003421461195917,,0.0018941319604356742,0.002412838300091451,7.645442241579968e-06,,,8.33972215489045e-06,,0.00024244566542114802,0.0003568036553040554,0.00036030980977126443,,,7.90073076935217e-05,,,4.0069906986897945e-05
74,,4.5535646098668094e-05,,0.00017623016761979322,0.004234339817944386,1.578717907799558e-05,0.0006686124608372453,0.00022849624491411914,,0.0019479613917119383,0.007197590078288575,0.00011435992078141388,,,0.00033601642060046214,,0.00018094845108769582,0.00027915850769445267,0.0008037750393942743,,,8.998710751300545e-05,,,0.002303827401133543
76,,5.0850780743679765e-05,0.00020211208966794042,0.0007132021323979753,0.0013065153214401925,3.944983526428709e-05,,0.00011919509822836685,,0.0008026622709634211,0.002541845769602123,5.9258356650557266e-05,,,0.0002750179747396406,,0.00034205403374854064,0.00027532115677374863,0.000300960637948354,,,0.0001009672473694258,,,0.002208761768110636
78,,6.269520124285588e-05,,0.00011862345713526185,0.0015102512056133788,1.2482628992448657e-08,0.00013734683928342623,0.00018443859276189614,,0.0009431564082362288,0.0018647076500098883,8.265667367825974e-06,,,0.0006899066564807513,,0.00043389655309333217,0.0003217106783746045,0.000555824705520671,,,0.00015100144862959905,,,0.0007910192245202335
80,0.00013479717361585412,0.0001106182877025351,,6.106929286910848e-05,0.0008332713001287949,,0.00016823230861724549,0.0002666237070003025,,0.0017814527659671463,0.0002548213178284769,4.6869259991967206e-05,,,,,3.302712697191813e-05,0.00015245758909770063,0.0016176010716108633,,,4.939514697484837e-05,,,0.0009889968608344402
82,,9.350642623795547e-06,,,,,0.000246351822972118,5.816394441270161e-05,,0.00022000038985458146,0.00023175669088595864,1.7065753160667954e-05,,,8.50256236949485e-05,,0.0001064529885208971,0.00024613381917257607,0.0002143832797077199,,,5.349955703642799e-05,,,8.486760082910423e-05
84,,4.649939172459956e-06,,0.00010715691732527974,,,,0.0001487077770110451,,0.0022870120946711235,0.00022850522208025907,1.49371865784445e-06,,,9.020932668419173e-05,,0.0,0.0002499132157073308,0.00032111410917777744,,,1.271307494856916e-05,,,4.450773106982702e-05
86,,6.41957238397753e-05,,9.00194593210819e-05,0.00016919570293406986,3.280696167982118e-07,,1.3717010149482557e-05,,0.0003220786056587556,0.00024383009303277625,3.221008890057739e-08,,,0.00041242820659511634,,0.00013846142124025013,8.864257891858353e-05,0.0003171350541247528,,,1.4407317762485847e-05,,,0.00019543886260799383
88,,2.2502297736971378e-05,0.0008645202951130105,0.000352352079121874,,1.4769160567811221e-05,,1.6063425788027447e-05,,0.0004416652920268178,0.0004412175838085138,,,,0.0003540186883368971,,2.5375919855461254e-05,0.00010242265934653565,3.219047576600848e-06,,,1.2579947336152116e-06,,,1.081101610182175e-05
90,,3.814126266223283e-06,0.0019755213560126673,0.00044346448177770244,,,,1.974788327959999e-05,,0.00040724518691463897,3.725969139490266e-05,,,,0.0002726802951506619,,7.563137908184195e-05,0.00010724400931058254,0.00020138374709595036,,,3.8191534812131185e-06,,,8.376818480360272e-05
92,,1.1257214061690125e-06,,6.687056652357563e-05,,,,1.1166263120873562e-05,,8.071611998312987e-05,6.511889088114316e-05,1.4881420958800397e-05,,,,,6.276948231401818e-06,3.3180717292029786e-05,9.395116024597796e-06,,,5.0864650987346865e-06,,,8.950281018554319e-06
94,,,0.0005050858616320612,,,,,5.559166861211632e-06,,1.0763032525892207e-05,,,,,2.5883258213484112e-05,,,3.65384725569828e-05,,,,2.149668203642237e-07,,,
96,,,3.506513776998428e-05,4.9116945589544656e-05,,,,5.882697040736133e-06,,3.4801367644484884e-05,,0.0,,,1.840986715041196e-07,,,2.1989768890393844e-05,0.0002395584301059813,,,2.955548240338954e-06,,,
98,,,,,,,,1.2634131375932362e-06,,3.619489831971367e-05,,,,,2.249373430745746e-06,,1.5589274778546345e-06,5.915879566306887e-06,5.6120792202324314e-05,,,9.77325075442086e-07,,,3.4863286172022506e-06
100,,,0.0,,,,,4.1996510977024254e-07,,9.37671618886368e-06,,,,,1.2571063004201298e-05,,,1.0319530477388178e-05,0.0003501437557192962,,,1.6688987829507667e-07,,,
