city_id,tr_pct_bin,pop_ft_pct,pop_ft,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,continent
143.0,"[0.16, 0.18)",0.0007397954455668288,1255.8913130694157,Ciudad Juárez,Mexico,MEX,Americas
143.0,"[0.2, 0.22)",0.0008134882616457374,1380.9936884675392,Ciudad Juárez,Mexico,MEX,Americas
183.0,"[0.0, 0.02)",0.0,0.0,Anchorage,United States,USA,Americas
183.0,"[0.02, 0.04)",0.006712073109448418,839.1080130970946,Anchorage,United States,USA,Americas
183.0,"[0.06, 0.08)",0.04915562656165409,6145.1774234446475,Anchorage,United States,USA,Americas
183.0,"[0.08, 0.1)",0.04250210644047299,5313.389396415155,Anchorage,United States,USA,Americas
183.0,"[0.1, 0.12)",0.03428671061099769,4286.343898121457,Anchorage,United States,USA,Americas
183.0,"[0.12, 0.14)",0.04738993558893293,5924.440041758815,Anchorage,United States,USA,Americas
183.0,"[0.14, 0.16)",0.06447048616610923,8059.760474613374,Anchorage,United States,USA,Americas
183.0,"[0.16, 0.18)",0.04614847964860572,5769.239761540002,Anchorage,United States,USA,Americas
183.0,"[0.18, 0.2)",0.04346081356179478,5433.241909133162,Anchorage,United States,USA,Americas
183.0,"[0.2, 0.22)",0.017871005841389905,2234.138984944335,Anchorage,United States,USA,Americas
183.0,"[0.22, 0.24)",0.13274142523624724,16594.633546060595,Anchorage,United States,USA,Americas
183.0,"[0.24, 0.26)",0.08885300897513687,11107.935000569794,Anchorage,United States,USA,Americas
183.0,"[0.26, 0.28)",0.03523380249258771,4404.744334770858,Anchorage,United States,USA,Americas
183.0,"[0.28, 0.3)",0.057365112602564855,7171.48411111168,Anchorage,United States,USA,Americas
183.0,"[0.3, 0.32)",0.07698928059637986,9624.794190644903,Anchorage,United States,USA,Americas
183.0,"[0.32, 0.34)",0.07004582180045697,8756.759558235008,Anchorage,United States,USA,Americas
183.0,"[0.34, 0.36)",0.09479207857774466,11850.406188327626,Anchorage,United States,USA,Americas
183.0,"[0.36, 0.38)",0.02702711183183097,3378.7871108013514,Anchorage,United States,USA,Americas
183.0,"[0.4, 0.42)",0.01913159140491635,2391.7307498583023,Anchorage,United States,USA,Americas
183.0,"[0.42, 0.44)",0.009086701959711892,1135.9715996368077,Anchorage,United States,USA,Americas
183.0,"[0.44, 0.46)",0.004759340908948135,594.987722666116,Anchorage,United States,USA,Americas
183.0,"[0.5, 0.52)",0.012632193899668168,1579.210320174665,Anchorage,United States,USA,Americas
183.0,"[0.52, 0.54)",0.006593147913917964,824.2406117888058,Anchorage,United States,USA,Americas
183.0,"[0.54, 0.56)",0.004040884508899712,505.1700892001025,Anchorage,United States,USA,Americas
183.0,"[0.6, 0.62)",0.0007187897629352948,89.8593087375849,Anchorage,United States,USA,Americas
183.0,"[0.62, 0.64)",0.0035776961400314014,447.2647199418835,Anchorage,United States,USA,Americas
183.0,"[0.68, 0.7)",0.001133355854228832,141.68617705239313,Anchorage,United States,USA,Americas
183.0,"[0.72, 0.74)",0.0032814180043873697,410.22558856317227,Anchorage,United States,USA,Americas
183.0,"[0.76, 0.78)",0.0,0.0,Anchorage,United States,USA,Americas
288.0,"[0.0, 0.02)",0.03400285642014757,87929.18941050125,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.02, 0.04)",0.06942915227655262,179539.3012193602,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.04, 0.06)",0.07391923438909676,191150.3634096726,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.06, 0.08)",0.08317500857064151,215085.19732755626,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.08, 0.1)",0.05239774179419724,135497.17429546796,Guatemala City,Guatemala,GTM,Americas
288.0,"[0.1, 0.12)",0.07496080072936004,193843.78665873667,Guatemala City,Guatemala,GTM,Americas
