city_id,tr_pct_bin,pop_ft,pop_ft_pct,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,continent,INCM_CMI
143.0,"[0.06, 0.08)",20960.31419443463,0.01234688449336812,Ciudad Juárez,Mexico,MEX,Americas,UMIC
143.0,"[0.08, 0.1)",10309.228728033682,0.006072755166739882,Ciudad Juárez,Mexico,MEX,Americas,UMIC
143.0,"[0.1, 0.12)",6816.013870915682,0.00401504172068833,Ciudad Juárez,Mexico,MEX,Americas,UMIC
143.0,"[0.12, 0.14)",2671.0894940129683,0.0015734322085106884,Ciudad Juárez,Mexico,MEX,Americas,UMIC
143.0,"[0.16, 0.18)",1255.8913130694157,0.0007397954455668288,Ciudad Juárez,Mexico,MEX,Americas,UMIC
143.0,"[0.2, 0.22)",1380.9936884675392,0.0008134882616457374,Ciudad Juárez,Mexico,MEX,Americas,UMIC
183.0,"[0.0, 0.02)",0.0,0.0,Anchorage,United States,USA,Americas,HIC
183.0,"[0.02, 0.04)",839.1080130970946,0.006712073109448418,Anchorage,United States,USA,Americas,HIC
183.0,"[0.06, 0.08)",6145.1774234446475,0.04915562656165409,Anchorage,United States,USA,Americas,HIC
183.0,"[0.08, 0.1)",5313.389396415155,0.04250210644047299,Anchorage,United States,USA,Americas,HIC
183.0,"[0.1, 0.12)",4286.343898121457,0.03428671061099769,Anchorage,United States,USA,Americas,HIC
183.0,"[0.12, 0.14)",5924.440041758815,0.04738993558893293,Anchorage,United States,USA,Americas,HIC
183.0,"[0.14, 0.16)",8059.760474613374,0.06447048616610923,Anchorage,United States,USA,Americas,HIC
183.0,"[0.16, 0.18)",5769.239761540002,0.04614847964860572,Anchorage,United States,USA,Americas,HIC
183.0,"[0.18, 0.2)",5433.241909133162,0.04346081356179478,Anchorage,United States,USA,Americas,HIC
183.0,"[0.2, 0.22)",2234.138984944335,0.017871005841389905,Anchorage,United States,USA,Americas,HIC
183.0,"[0.22, 0.24)",16594.633546060595,0.13274142523624724,Anchorage,United States,USA,Americas,HIC
183.0,"[0.24, 0.26)",11107.935000569794,0.08885300897513687,Anchorage,United States,USA,Americas,HIC
183.0,"[0.26, 0.28)",4404.744334770858,0.03523380249258771,Anchorage,United States,USA,Americas,HIC
183.0,"[0.28, 0.3)",7171.48411111168,0.057365112602564855,Anchorage,United States,USA,Americas,HIC
183.0,"[0.3, 0.32)",9624.794190644903,0.07698928059637986,Anchorage,United States,USA,Americas,HIC
183.0,"[0.32, 0.34)",8756.759558235008,0.07004582180045697,Anchorage,United States,USA,Americas,HIC
183.0,"[0.34, 0.36)",11850.406188327626,0.09479207857774466,Anchorage,United States,USA,Americas,HIC
183.0,"[0.36, 0.38)",3378.7871108013514,0.02702711183183097,Anchorage,United States,USA,Americas,HIC
183.0,"[0.4, 0.42)",2391.7307498583023,0.01913159140491635,Anchorage,United States,USA,Americas,HIC
183.0,"[0.42, 0.44)",1135.9715996368077,0.009086701959711892,Anchorage,United States,USA,Americas,HIC
183.0,"[0.44, 0.46)",594.987722666116,0.004759340908948135,Anchorage,United States,USA,Americas,HIC
183.0,"[0.5, 0.52)",1579.210320174665,0.012632193899668168,Anchorage,United States,USA,Americas,HIC
183.0,"[0.52, 0.54)",824.2406117888058,0.006593147913917964,Anchorage,United States,USA,Americas,HIC
183.0,"[0.54, 0.56)",505.1700892001025,0.004040884508899712,Anchorage,United States,USA,Americas,HIC
183.0,"[0.6, 0.62)",89.8593087375849,0.0007187897629352948,Anchorage,United States,USA,Americas,HIC
183.0,"[0.62, 0.64)",447.2647199418835,0.0035776961400314014,Anchorage,United States,USA,Americas,HIC
183.0,"[0.68, 0.7)",141.68617705239313,0.001133355854228832,Anchorage,United States,USA,Americas,HIC
183.0,"[0.72, 0.74)",410.22558856317227,0.0032814180043873697,Anchorage,United States,USA,Americas,HIC
183.0,"[0.76, 0.78)",0.0,0.0,Anchorage,United States,USA,Americas,HIC
288.0,"[0.0, 0.02)",87929.18941050125,0.03400285642014757,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.02, 0.04)",179539.3012193602,0.06942915227655262,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.04, 0.06)",191150.3634096726,0.07391923438909676,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.06, 0.08)",215085.19732755626,0.08317500857064151,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.08, 0.1)",135497.17429546796,0.05239774179419724,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.1, 0.12)",193843.78665873667,0.07496080072936004,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.12, 0.14)",119179.2556371523,0.04608748408644121,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.14, 0.16)",85951.35066272406,0.03323801180581929,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.16, 0.18)",193622.34874004213,0.07487516907727924,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.18, 0.2)",142849.66937503035,0.05524100506315606,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.2, 0.22)",75243.82442423535,0.029097333610748708,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.22, 0.24)",77236.25018831147,0.029867819130265986,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.24, 0.26)",139079.97196398533,0.0537832356844717,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.26, 0.28)",112832.07376551919,0.043632982739384235,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.28, 0.3)",98125.19905299759,0.03794572743097526,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.3, 0.32)",46902.3119763784,0.01813746482365839,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.32, 0.34)",54875.238465229755,0.021220653426514163,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.34, 0.36)",55176.663834336265,0.021337216806841364,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.36, 0.38)",41343.17125300455,0.015987704714375488,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.38, 0.4)",44650.609083722906,0.01726671495466606,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.4, 0.42)",32098.74094749114,0.012412816347135603,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.42, 0.44)",21896.60616482096,0.008467576700098694,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.44, 0.46)",45193.15444420576,0.017476521187585938,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.46, 0.48)",23339.295699263446,0.009025475225348134,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.48, 0.5)",22309.881433371214,0.008627393249218773,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.5, 0.52)",24688.20220589062,0.00954710717233352,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.52, 0.54)",16779.08260695244,0.006488593157414696,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.54, 0.56)",36241.65525527659,0.014014911411505432,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.56, 0.58)",23642.594206210248,0.009142762961688002,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.58, 0.6)",15338.221540773364,0.0059314017141279835,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.6, 0.62)",8536.801160890358,0.003301243035528731,Guatemala City,Guatemala,GTM,Americas,LMIC
288.0,"[0.62, 0.64)",2342.042624199118,0.000905684899569851,Guatemala City,Guatemala,GTM,Americas,LMIC
