city_id,hexagon_n,UC_NM_MN,CTR_MN_NM,CTR_MN_ISO,tree_pct,pop_ft_pct,tr_pct_bin,geometry
10.0,1814,San Jose,United States,USA,0.044147925058352,0.1608045283824669,"[0.04, 0.06)","POLYGON ((-122.44168124624147 37.77246135315821, -122.44168124624147 37.781458490118254, -122.43037081973891 37.781458490118254, -122.43037081973891 37.77246135315821, -122.44168124624147 37.77246135315821))"
79.0,606,Phoenix,United States,USA,0.029236110018881,0.3809790087439195,"[0.02, 0.04)","POLYGON ((-112.11858007387585 33.49519288545836, -112.11858007387585 33.50419002240302, -112.10785948588146 33.50419002240302, -112.10785948588146 33.49519288545836, -112.11858007387585 33.49519288545836))"
143.0,503,Ciudad Juárez,Mexico,MEX,0.003142810628405,0.7779646043112459,"[0.0, 0.02)","POLYGON ((-106.40208528182478 31.647662322767545, -106.40208528182478 31.65665945970605, -106.39158333373983 31.65665945970605, -106.39158333373983 31.647662322767545, -106.40208528182478 31.647662322767545))"
183.0,51,Anchorage,United States,USA,0.239431121612974,0.1327414252362472,"[0.22, 0.24)","POLYGON ((-149.95900403473698 61.18427038751779, -149.95900403473698 61.19326752461942, -149.940453930789 61.19326752461942, -149.940453930789 61.18427038751779, -149.95900403473698 61.18427038751779))"
288.0,11,Guatemala City,Guatemala,GTM,0.074075518222215,0.0831750085706415,"[0.06, 0.08)","POLYGON ((-90.55413263683675 14.52927326810623, -90.55413263683675 14.538270404996249, -90.54489732370828 14.538270404996249, -90.54489732370828 14.52927326810623, -90.55413263683675 14.52927326810623))"
321.0,282,San Salvador,El Salvador,SLV,0.119272338359334,0.0846625113028603,"[0.1, 0.12)","POLYGON ((-89.18371184130008 13.796114101599125, -89.18371184130008 13.805111238487294, -89.17450631133659 13.805111238487294, -89.17450631133659 13.796114101599125, -89.18371184130008 13.796114101599125))"
323.0,882,Dallas,United States,USA,0.217961735706343,0.064451121606237,"[0.2, 0.22)","POLYGON ((-96.75962919797561 32.87197000771984, -96.75962919797561 32.88096714466239, -96.74898461360864 32.88096714466239, -96.74898461360864 32.87197000771984, -96.75962919797561 32.87197000771984))"
359.0,175,Tegucigalpa,Honduras,HND,0.066666610941303,0.1815305255114665,"[0.06, 0.08)","POLYGON ((-87.238989626811 14.090702891895203, -87.238989626811 14.099700028784113, -87.22977233420923 14.099700028784113, -87.22977233420923 14.090702891895203, -87.238989626811 14.090702891895203))"
367.0,116,Managua,Nicaragua,NIC,0.110548208922972,0.1312750422790651,"[0.1, 0.12)","POLYGON ((-86.3040926951293 12.12901767176127, -86.3040926951293 12.13801480864528, -86.29494863848268 12.13801480864528, -86.29494863848268 12.12901767176127, -86.3040926951293 12.12901767176127))"
392.0,359,San José,Costa Rica,CRI,0.103794128041141,0.1046825331605196,"[0.1, 0.12)","POLYGON ((-84.09209346131277 9.896428291584298, -84.09209346131277 9.905425428462816, -84.08301852117813 9.905425428462816, -84.08301852117813 9.896428291584298, -84.09209346131277 9.896428291584298))"
